time stamp,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll
1705282200.6667,0.0355,0.0400,0.0057,0.0110,0.4225,0.0260,0.0867,0.1387,0.0695,0.4986,0.5906,0.5502,0.6469,0.0104,0.0000,0.0000,0.0707,0.2344,0.0614,0.0521,0.0764,0.0726,0.0268,0.1910,0.1096,0.0782,0.1378,0.0661,0.1070,0.1735,0.0722,0.3155,0.1110,0.0000,21.70,-4.1634,9.8618,-0.1000
1705282200.7333,0.0384,0.0428,0.0106,0.0297,0.4216,0.0273,0.0774,0.1175,0.0844,0.4902,0.6114,0.5169,0.6159,0.0239,0.0626,0.0753,0.0385,0.2931,0.0146,0.0000,0.1609,0.1207,0.0157,0.0004,0.0838,0.0345,0.1486,0.0040,0.0964,0.1298,0.2155,0.2775,0.0561,0.0000,19.39,18.6803,-17.2743,-8.0626
1705282200.8000,0.0425,0.0351,0.0029,0.0127,0.3983,0.0156,0.0884,0.1199,0.0707,0.5283,0.5795,0.4567,0.5851,0.0000,0.0855,0.0214,0.0124,0.2104,0.0137,0.0456,0.0566,0.1220,0.0000,0.1775,0.1075,0.0873,0.0985,0.0806,0.0000,0.0612,0.0719,0.3620,0.1790,1.0000,12.85,13.2716,9.3139,2.6398
1705282200.8667,0.0454,0.0284,0.0000,0.0250,0.4121,0.0085,0.0889,0.1065,0.0847,0.5203,0.5637,0.5057,0.5819,0.0170,0.0000,0.1156,0.0548,0.2635,0.0362,0.0000,0.0256,0.0763,0.0321,0.0316,0.1358,0.0578,0.0259,0.0028,0.0344,0.1785,0.1172,0.3748,0.0904,0.0000,16.22,11.8991,3.7540,-0.3438
1705282200.9333,0.0375,0.0256,0.0010,0.0270,0.4337,0.0132,0.0809,0.1006,0.1082,0.5034,0.6251,0.5731,0.6359,0.0467,0.0660,0.0871,0.0749,0.2718,0.0879,0.0416,0.0988,0.0985,0.0194,0.0835,0.0791,0.0871,0.0551,0.0007,0.1166,0.0588,0.0761,0.3887,0.0446,0.0000,15.71,-4.8755,-10.6907,-4.4799
1705282201.0000,0.0356,0.0411,0.0000,0.0294,0.4178,0.0210,0.0831,0.1131,0.1026,0.4937,0.6372,0.5338,0.6188,0.0203,0.1470,0.0437,0.0748,0.2388,0.0000,0.0260,0.0074,0.0473,0.0705,0.0801,0.1529,0.0438,0.1691,0.0374,0.0895,0.1889,0.0598,0.3939,0.1319,0.0000,10.62,0.4608,5.9854,1.2201
1705282201.0667,0.0240,0.0420,0.0000,0.0442,0.3940,0.0341,0.0905,0.1183,0.0855,0.5003,0.6474,0.5464,0.6033,0.0503,0.1044,0.1074,0.0444,0.2423,0.0081,0.0300,0.0814,0.0755,0.0655,0.1516,0.0770,0.0335,0.1553,0.0407,0.0092,0.0379,0.0983,0.2473,0.1086,0.0000,12.75,10.5046,5.7981,0.9837
1705282201.1333,0.0398,0.0485,0.0130,0.0413,0.4066,0.0521,0.0809,0.1139,0.0799,0.4745,0.6639,0.4810,0.6889,0.0724,0.0185,0.0899,0.0522,0.2726,0.0406,0.0081,0.1923,0.0065,0.0114,0.1824,0.1155,0.0716,0.2049,0.0000,0.1696,0.1022,0.0905,0.3114,0.0000,0.0000,11.72,6.6594,-1.1860,-1.5958
1705282201.2000,0.0537,0.0526,0.0093,0.0342,0.4029,0.0379,0.0620,0.1030,0.0796,0.4988,0.6400,0.5039,0.7311,0.0283,0.0460,0.0630,0.0670,0.2664,0.0491,0.0447,0.0573,0.0241,0.0149,0.1406,0.1707,0.0764,0.0157,0.0000,0.0725,0.0189,0.2479,0.3714,0.0288,0.0000,11.86,3.6773,-4.3533,-7.4716
1705282201.2667,0.0622,0.0414,0.0238,0.0316,0.3973,0.0245,0.0501,0.0996,0.0658,0.5222,0.5956,0.4797,0.6999,0.0969,0.0230,0.0729,0.0145,0.2067,0.0233,0.0192,0.1399,0.1147,0.0137,0.1665,0.0899,0.0823,0.0831,0.0223,0.0857,0.1125,0.0526,0.3740,0.1329,0.0000,14.51,-4.1978,4.5801,3.3163
1705282201.3333,0.0485,0.0410,0.0219,0.0322,0.3969,0.0274,0.0532,0.1066,0.0632,0.5255,0.5827,0.4352,0.7015,0.0524,0.0323,0.1725,0.1234,0.2395,0.0050,0.0103,0.1326,0.1946,0.0238,0.1940,0.0600,0.0700,0.0899,0.0006,0.0763,0.1379,0.2134,0.3079,0.1113,0.0000,18.99,11.7810,0.9746,-2.3121
1705282201.4000,0.0686,0.0395,0.0268,0.0181,0.3864,0.0192,0.0592,0.1200,0.0436,0.5312,0.6113,0.4261,0.7093,0.0837,0.0057,0.0002,0.0189,0.2097,0.0120,0.0565,0.0892,0.1002,0.0347,0.1771,0.1205,0.1011,0.0979,0.0430,0.1158,0.0950,0.1318,0.4667,0.1086,0.0000,13.85,-3.6196,-3.4521,-5.2349
1705282201.4667,0.0653,0.0336,0.0251,0.0235,0.4102,0.0316,0.0629,0.1180,0.0430,0.5121,0.6157,0.3126,0.6661,0.0206,0.0562,0.1470,0.0458,0.2446,0.0327,0.0296,0.0824,0.1364,0.0301,0.1025,0.0273,0.0878,0.1552,0.0656,0.0612,0.0755,0.0719,0.3530,0.1862,0.0000,12.97,1.7266,12.7423,-0.9326
1705282201.5333,0.0433,0.0437,0.0191,0.0408,0.4116,0.0194,0.0738,0.1265,0.0277,0.5164,0.6092,0.3023,0.7155,0.0000,0.0252,0.0050,0.0202,0.3017,0.0000,0.0109,0.0714,0.0603,0.0000,0.0772,0.0771,0.1003,0.1038,0.0000,0.0000,0.1091,0.0378,0.2483,0.1431,0.0000,14.87,1.4449,5.8049,0.0613
1705282201.6000,0.0411,0.0525,0.0041,0.0249,0.4419,0.0048,0.0869,0.1387,0.0191,0.5116,0.6070,0.2149,0.7852,0.0000,0.0284,0.0000,0.0489,0.2211,0.0354,0.0087,0.0000,0.0774,0.0355,0.0423,0.0534,0.1214,0.0000,0.0572,0.1712,0.1318,0.1381,0.3162,0.1221,0.0000,15.31,0.2503,13.8890,2.0801
1705282201.6667,0.0475,0.0448,0.0023,0.0238,0.4026,0.0036,0.0834,0.1347,0.0407,0.5299,0.6101,0.3692,0.8270,0.0422,0.1056,0.1359,0.0679,0.2211,0.0259,0.0000,0.0779,0.1333,0.0163,0.1552,0.0590,0.1241,0.1240,0.0329,0.0803,0.0547,0.0703,0.3150,0.0329,0.0000,12.25,11.5360,7.9638,1.0435
1705282201.7333,0.0428,0.0385,0.0128,0.0199,0.4008,0.0201,0.0946,0.1304,0.0613,0.5072,0.6031,0.4117,0.7341,0.0367,0.0693,0.0490,0.0931,0.2256,0.0368,0.0000,0.0762,0.1354,0.0000,0.1848,0.1632,0.1030,0.0614,0.0457,0.0793,0.0399,0.1140,0.3159,0.0902,0.0000,16.20,12.2788,-0.4924,-2.3854
1705282201.8000,0.0329,0.0300,0.0143,0.0206,0.4059,0.0424,0.0972,0.1189,0.0749,0.4977,0.5773,0.4501,0.6895,0.0410,0.0819,0.0796,0.0334,0.2901,0.0332,0.0410,0.0976,0.1682,0.0358,0.1059,0.0998,0.2066,0.1024,0.0688,0.1032,0.1362,0.1021,0.3108,0.1395,0.0000,14.63,9.7554,8.4448,1.0897
1705282201.8667,0.0226,0.0281,0.0174,0.0126,0.3950,0.0448,0.0921,0.1144,0.0616,0.5268,0.5483,0.4338,0.6770,0.0000,0.0604,0.0817,0.0888,0.2009,0.0056,0.0754,0.0735,0.0524,0.0000,0.1811,0.1561,0.0977,0.0550,0.0524,0.0950,0.0538,0.0576,0.2588,0.0216,0.0000,17.41,-5.7021,-8.3169,2.7425
1705282201.9333,0.0266,0.0281,0.0073,0.0099,0.4001,0.0246,0.0763,0.1105,0.1073,0.5256,0.5478,0.4854,0.7515,0.0417,0.0594,0.0631,0.0230,0.2646,0.0489,0.0490,0.1209,0.1436,0.0000,0.1468,0.1057,0.1568,0.1401,0.0004,0.0921,0.0583,0.0520,0.4023,0.1030,1.0000,14.02,16.6339,-1.4978,4.7244
1705282202.0000,0.0364,0.0335,0.0131,0.0058,0.4088,0.0111,0.0724,0.1046,0.0929,0.5329,0.5519,0.4903,0.7700,0.0808,0.1199,0.0473,0.0409,0.2840,0.0000,0.0359,0.0650,0.0098,0.0120,0.0819,0.0223,0.1113,0.1329,0.0820,0.0863,0.0638,0.0876,0.3191,0.1323,0.0000,12.95,9.3066,16.3236,4.4073
1705282202.0667,0.0386,0.0333,0.0111,0.0049,0.3970,0.0000,0.0722,0.1131,0.0928,0.5422,0.5861,0.4620,0.8128,0.0000,0.0401,0.1367,0.0481,0.2448,0.0688,0.0422,0.0278,0.1248,0.0000,0.0659,0.1235,0.1379,0.0659,0.0882,0.0336,0.1427,0.0376,0.3513,0.1256,0.0000,18.16,10.8936,12.1263,7.1139
1705282202.1333,0.0463,0.0403,0.0216,0.0157,0.4215,0.0000,0.0954,0.1087,0.0752,0.5053,0.6207,0.4478,0.7229,0.0000,0.1560,0.0161,0.0281,0.2606,0.0000,0.0611,0.0567,0.1718,0.0084,0.0738,0.1410,0.0595,0.1299,0.0566,0.1318,0.2455,0.0836,0.3187,0.1271,0.0000,14.77,-1.1826,-3.8051,1.7656
1705282202.2000,0.0404,0.0482,0.0231,0.0185,0.4357,0.0256,0.1152,0.0998,0.0804,0.4678,0.6384,0.3949,0.7187,0.0444,0.0731,0.0871,0.0577,0.2439,0.0146,0.0128,0.0858,0.0630,0.0266,0.0551,0.0471,0.1607,0.1256,0.0571,0.0081,0.0679,0.1674,0.3582,0.0532,1.0000,20.83,9.5501,-7.5929,1.3998
1705282202.2667,0.0535,0.0470,0.0258,0.0193,0.4161,0.0298,0.0971,0.1144,0.0624,0.4808,0.6425,0.3427,0.7389,0.0000,0.0692,0.0582,0.0636,0.2886,0.0269,0.0311,0.0501,0.0440,0.0493,0.0548,0.0755,0.0860,0.0963,0.0595,0.1050,0.1666,0.1627,0.2991,0.1397,0.0000,13.31,7.8940,-2.1129,3.2699
1705282202.3333,0.0622,0.0267,0.0283,0.0184,0.4256,0.0048,0.0748,0.1075,0.0578,0.5164,0.6367,0.3748,0.6921,0.0000,0.1221,0.0582,0.0000,0.2317,0.0000,0.0493,0.1136,0.0623,0.0593,0.1185,0.1282,0.1945,0.1890,0.0246,0.0210,0.0785,0.1438,0.4379,0.0737,0.0000,17.77,-21.1861,-4.7540,-0.6069
1705282202.4000,0.0695,0.0332,0.0253,0.0115,0.4094,0.0000,0.0761,0.1074,0.0492,0.5311,0.6526,0.4520,0.7529,0.0000,0.1490,0.0301,0.0000,0.2405,0.0321,0.0323,0.0000,0.0675,0.0541,0.0146,0.0437,0.1461,0.1181,0.0030,0.0631,0.0393,0.1869,0.3310,0.1069,0.0000,13.13,18.0865,-5.0274,-0.3585
1705282202.4667,0.0684,0.0140,0.0175,0.0244,0.3902,0.0000,0.0504,0.1134,0.0456,0.5656,0.6850,0.5206,0.7811,0.0506,0.1176,0.0168,0.0216,0.2423,0.0620,0.0376,0.1625,0.1059,0.0000,0.0745,0.1056,0.1537,0.1443,0.0465,0.0744,0.1562,0.1781,0.3685,0.1159,0.0000,13.17,12.1361,13.0598,1.1407
1705282202.5333,0.0440,0.0264,0.0268,0.0292,0.3844,0.0000,0.0671,0.1206,0.0183,0.5699,0.6538,0.5532,0.7654,0.0342,0.0000,0.0000,0.0562,0.2376,0.0158,0.0323,0.1155,0.0685,0.0065,0.0976,0.0000,0.0346,0.0711,0.0181,0.1183,0.0555,0.1122,0.4054,0.0957,0.0000,13.01,9.5023,8.8503,9.5096
1705282202.6000,0.0528,0.0082,0.0274,0.0243,0.3999,0.0011,0.0474,0.1396,0.0572,0.5453,0.5830,0.4857,0.7348,0.0183,0.0063,0.0449,0.0202,0.2473,0.0407,0.0663,0.1229,0.1646,0.0000,0.1555,0.0151,0.0424,0.1380,0.0586,0.0833,0.1056,0.0868,0.3771,0.0569,0.0000,20.59,4.7068,0.6640,7.2348
1705282202.6667,0.0376,0.0108,0.0202,0.0249,0.4080,0.0000,0.0551,0.1216,0.0518,0.5620,0.5501,0.4028,0.7040,0.0701,0.0000,0.0170,0.0642,0.2554,0.0432,0.0646,0.1167,0.1615,0.0000,0.1972,0.0684,0.1833,0.0553,0.0173,0.1235,0.0934,0.2359,0.3875,0.0819,0.0000,17.69,9.1451,8.3209,6.9636
1705282202.7333,0.0477,0.0086,0.0098,0.0191,0.3850,0.0054,0.0624,0.1319,0.0357,0.5766,0.6302,0.3812,0.6670,0.0000,0.0054,0.1205,0.0000,0.1768,0.0259,0.0116,0.0600,0.0713,0.0000,0.1162,0.0671,0.1312,0.0877,0.0237,0.1705,0.1409,0.1520,0.2448,0.0903,0.0000,19.40,12.5075,-6.1300,1.9442
1705282202.8000,0.0596,0.0000,0.0024,0.0249,0.3656,0.0226,0.0906,0.1296,0.0548,0.5499,0.6152,0.3156,0.6530,0.0328,0.0000,0.0870,0.0608,0.2063,0.0159,0.0007,0.1269,0.1373,0.0000,0.1603,0.1347,0.0882,0.1308,0.0644,0.1517,0.1044,0.1476,0.2836,0.1271,0.0000,14.37,-4.0231,-7.2177,-4.4935
1705282202.8667,0.0676,0.0033,0.0079,0.0428,0.3801,0.0203,0.0706,0.1355,0.0657,0.5237,0.6176,0.3565,0.6713,0.0000,0.0693,0.1333,0.0789,0.2495,0.0370,0.0453,0.0683,0.1299,0.0511,0.0576,0.0028,0.1012,0.0772,0.0120,0.0902,0.0905,0.1245,0.3494,0.0670,0.0000,14.79,9.3240,-0.1381,-4.3316
1705282202.9333,0.0784,0.0057,0.0152,0.0537,0.4007,0.0183,0.0715,0.1345,0.0626,0.4956,0.5821,0.3592,0.6476,0.0211,0.0375,0.0513,0.0446,0.2399,0.0949,0.0611,0.0705,0.1805,0.0125,0.0905,0.0997,0.0685,0.0827,0.0027,0.0935,0.0748,0.1130,0.2239,0.1914,0.0000,14.49,6.6497,1.3012,-1.1197
1705282203.0000,0.0851,0.0082,0.0244,0.0597,0.3950,0.0355,0.0709,0.1331,0.0402,0.4887,0.6135,0.4251,0.6572,0.0800,0.0857,0.0000,0.0756,0.2304,0.0581,0.0683,0.1014,0.0584,0.0412,0.0449,0.0925,0.1913,0.1121,0.0199,0.1544,0.0825,0.1487,0.3022,0.0380,0.0000,14.94,8.8787,-16.8936,3.4317
1705282203.0667,0.0739,0.0050,0.0260,0.0549,0.4105,0.0442,0.0779,0.1208,0.0494,0.4824,0.6422,0.4526,0.6502,0.0564,0.0197,0.1000,0.0135,0.2487,0.0173,0.0708,0.2174,0.1281,0.0000,0.1538,0.0095,0.0723,0.0747,0.0225,0.1558,0.0263,0.1197,0.2276,0.0950,0.0000,16.53,2.8947,2.1264,-7.7884
1705282203.1333,0.0862,0.0080,0.0117,0.0613,0.4248,0.0303,0.0827,0.1369,0.0649,0.4559,0.6244,0.4502,0.6828,0.0199,0.0798,0.0904,0.0345,0.2621,0.0025,0.0049,0.1289,0.1423,0.0000,0.0000,0.0536,0.0624,0.1034,0.0509,0.1075,0.2006,0.1060,0.3310,0.1064,0.0000,12.17,0.5557,8.0584,10.5154
1705282203.2000,0.0702,0.0146,0.0158,0.0568,0.4032,0.0545,0.0877,0.1271,0.0976,0.4435,0.6407,0.3996,0.6622,0.0033,0.0263,0.0656,0.0522,0.2972,0.0000,0.0416,0.1226,0.0091,0.0604,0.1023,0.0612,0.1091,0.1262,0.0229,0.1451,0.0536,0.0036,0.4047,0.1620,0.0000,15.39,5.9147,6.7641,4.7859
1705282203.2667,0.0810,0.0034,0.0212,0.0594,0.3786,0.0476,0.0981,0.1243,0.0740,0.4675,0.6489,0.4607,0.6648,0.0676,0.1037,0.0483,0.0145,0.2280,0.0482,0.0583,0.2471,0.1219,0.0268,0.0586,0.0988,0.1359,0.0434,0.0305,0.1555,0.0612,0.1345,0.2141,0.1228,0.0000,19.80,2.6021,-3.9137,-1.7369
1705282203.3333,0.0921,0.0233,0.0181,0.0467,0.4004,0.0552,0.1009,0.1136,0.0513,0.4590,0.5740,0.4414,0.6139,0.0701,0.0558,0.0304,0.0583,0.2425,0.0447,0.0326,0.1122,0.0932,0.0272,0.0876,0.1293,0.0649,0.0396,0.0510,0.0145,0.1122,0.1408,0.2854,0.1808,0.0000,16.57,-2.0195,-12.5121,8.4643
1705282203.4000,0.1038,0.0258,0.0214,0.0407,0.4411,0.0372,0.1058,0.1054,0.0825,0.4218,0.6379,0.4071,0.6396,0.0632,0.0978,0.0975,0.0231,0.2503,0.1099,0.0111,0.1058,0.1613,0.0188,0.2112,0.0448,0.1233,0.0851,0.0222,0.1400,0.1152,0.1071,0.3422,0.0835,0.0000,15.01,11.8465,7.6034,-0.2454
1705282203.4667,0.0943,0.0310,0.0210,0.0479,0.4128,0.0451,0.1009,0.1172,0.0784,0.4309,0.6890,0.4146,0.7115,0.0247,0.1197,0.0844,0.0469,0.2137,0.0691,0.1001,0.0537,0.1656,0.0000,0.1455,0.0716,0.1140,0.0076,0.0391,0.0988,0.0908,0.1457,0.2893,0.0665,0.0000,11.91,-5.5964,25.1142,8.7828
1705282203.5333,0.0738,0.0384,0.0204,0.0331,0.3864,0.0391,0.0903,0.1251,0.0780,0.4693,0.7162,0.4719,0.6712,0.0000,0.0000,0.0196,0.0587,0.2437,0.0516,0.0290,0.0510,0.1637,0.0000,0.1530,0.0833,0.1451,0.1790,0.0391,0.1409,0.1352,0.0000,0.3653,0.0427,0.0000,16.72,-4.2319,-24.6586,1.7503
1705282203.6000,0.0681,0.0368,0.0212,0.0273,0.3881,0.0482,0.0714,0.1281,0.0643,0.4880,0.7271,0.4513,0.7245,0.0437,0.0787,0.1207,0.0092,0.2136,0.0584,0.0860,0.2098,0.0238,0.0352,0.0623,0.1525,0.0930,0.1555,0.0000,0.2695,0.1195,0.1687,0.3149,0.0981,0.0000,9.43,14.2139,8.7938,4.1012
1705282203.6667,0.0676,0.0292,0.0128,0.0285,0.3736,0.0621,0.0578,0.1222,0.0644,0.5091,0.6966,0.4807,0.6739,0.0518,0.0630,0.0907,0.0083,0.2041,0.0314,0.0000,0.1350,0.0953,0.0000,0.0189,0.1071,0.0625,0.0639,0.0476,0.0824,0.0858,0.1251,0.3356,0.1002,0.0000,18.43,-11.5970,-6.8613,0.7570
1705282203.7333,0.0504,0.0273,0.0150,0.0083,0.3767,0.0481,0.0614,0.1145,0.0614,0.5422,0.7074,0.5169,0.6597,0.0643,0.0734,0.0190,0.0022,0.2440,0.0232,0.0342,0.0784,0.0000,0.0000,0.0735,0.0626,0.1578,0.1864,0.0000,0.0970,0.0439,0.1280,0.2518,0.1222,0.0000,12.33,4.9932,-6.2079,0.3755
1705282203.8000,0.0618,0.0300,0.0339,0.0204,0.4116,0.0450,0.0707,0.1249,0.0702,0.4790,0.6790,0.5058,0.6950,0.0649,0.0477,0.1028,0.0489,0.1961,0.0204,0.0016,0.0054,0.0475,0.0000,0.1644,0.0000,0.2119,0.1255,0.0544,0.0358,0.0673,0.0930,0.3164,0.1241,0.0000,15.14,-9.8753,-7.6208,3.4854
1705282203.8667,0.0584,0.0438,0.0380,0.0316,0.3934,0.0336,0.0797,0.1014,0.0731,0.4882,0.7366,0.5037,0.6803,0.0530,0.0400,0.1162,0.0569,0.2501,0.0181,0.0000,0.1229,0.1564,0.0876,0.0413,0.0953,0.0014,0.1621,0.0233,0.0843,0.0912,0.1202,0.3568,0.0000,0.0000,13.34,4.8682,0.4992,-4.1716
1705282203.9333,0.0676,0.0490,0.0409,0.0287,0.4100,0.0338,0.0719,0.0922,0.0501,0.4935,0.7602,0.4695,0.6658,0.0461,0.0000,0.0267,0.0510,0.3059,0.0323,0.0166,0.0704,0.1308,0.0396,0.1404,0.0844,0.0841,0.0918,0.0353,0.0942,0.0938,0.0862,0.3060,0.2083,0.0000,15.13,-7.6676,-5.3921,-3.8370
1705282204.0000,0.0764,0.0580,0.0308,0.0400,0.4144,0.0266,0.0774,0.1043,0.0212,0.4905,0.7523,0.4482,0.6771,0.0395,0.0000,0.0242,0.0303,0.1931,0.0111,0.0665,0.1031,0.1811,0.0499,0.0400,0.0755,0.0000,0.0662,0.0130,0.1118,0.1011,0.1320,0.3234,0.1343,0.0000,20.17,3.5231,-8.3210,6.1325
1705282204.0667,0.0855,0.0613,0.0301,0.0430,0.4415,0.0341,0.0778,0.1224,0.0252,0.4475,0.8236,0.4237,0.6827,0.0732,0.0423,0.0706,0.0720,0.2483,0.0198,0.0503,0.1450,0.0965,0.0251,0.1118,0.0087,0.1001,0.1365,0.0142,0.1555,0.0627,0.0851,0.3902,0.0697,0.0000,9.99,13.5157,-8.0112,2.7140
1705282204.1333,0.0777,0.0566,0.0166,0.0370,0.4458,0.0324,0.0880,0.1222,0.0496,0.4445,0.8887,0.3444,0.7119,0.0571,0.0335,0.0240,0.0870,0.2847,0.0273,0.0237,0.1426,0.0563,0.0106,0.1365,0.0367,0.1205,0.0000,0.0495,0.1532,0.0667,0.1467,0.2934,0.0756,0.0000,15.50,4.2486,25.7612,-8.8995
1705282204.2000,0.0554,0.0435,0.0251,0.0212,0.4380,0.0228,0.0656,0.1187,0.0671,0.4856,0.8359,0.3275,0.7692,0.0000,0.0599,0.0074,0.0399,0.2685,0.0408,0.0588,0.0680,0.1353,0.0338,0.0991,0.1380,0.1171,0.1306,0.0634,0.1583,0.0917,0.0349,0.4162,0.0740,0.0000,19.37,14.5308,1.3601,5.9684
1705282204.2667,0.0485,0.0336,0.0211,0.0244,0.4271,0.0141,0.0714,0.1092,0.0739,0.5061,0.7684,0.3166,0.7139,0.0814,0.0394,0.0439,0.0000,0.2839,0.0180,0.0502,0.0327,0.0804,0.0028,0.1100,0.0659,0.0691,0.0440,0.0158,0.1321,0.0626,0.1156,0.3605,0.1907,0.0000,18.47,4.2067,16.5721,-6.0575
1705282204.3333,0.0442,0.0273,0.0260,0.0290,0.4625,0.0142,0.0509,0.0911,0.0769,0.5066,0.6864,0.2768,0.6504,0.0077,0.0322,0.0338,0.0512,0.3003,0.0000,0.0459,0.1205,0.0722,0.0000,0.0700,0.1439,0.0796,0.0997,0.0784,0.1170,0.0357,0.1861,0.3614,0.0632,0.0000,15.98,10.1183,10.0214,9.2942
1705282204.4000,0.0557,0.0192,0.0284,0.0256,0.4680,0.0253,0.0742,0.1020,0.0847,0.4701,0.6627,0.3361,0.6164,0.0000,0.0809,0.1068,0.0468,0.3126,0.0558,0.0344,0.1241,0.1378,0.0255,0.1048,0.1318,0.1464,0.1253,0.0465,0.1781,0.0776,0.0845,0.4070,0.0901,0.0000,12.88,17.6546,8.1386,-0.2492
1705282204.4667,0.0504,0.0037,0.0243,0.0226,0.4686,0.0213,0.0729,0.1033,0.1088,0.4745,0.6944,0.3836,0.6714,0.0422,0.0027,0.1021,0.0332,0.3029,0.0599,0.0444,0.1195,0.0985,0.0358,0.1080,0.0322,0.1235,0.1135,0.0507,0.1850,0.0961,0.0689,0.3539,0.0615,0.0000,20.60,-1.8566,1.1142,4.6654
