time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
3.513,0,0.08,70.27,0.02,0.22,0.04,0.27,0.13,4.72,0.19,4.73,1.36,0.00,97.10,17.33,1.12,0.00,0.00,1.37,0.19,0.02,0.00,14.77,2.23,0.11,0.00,4.82,1.25,0.88,1.91,22.66,41.04,4.72,70.51,0.00,,6.35,4.44,-1.39,71.98,78.93,312.43,249.18,418.17,361.00,406.07,278.04,327.41,271.47,367.65,297.67,362.42,361.00,
3.593,0,0.08,9.68,0.02,0.26,0.03,0.29,0.16,1.10,0.24,80.63,0.37,0.00,97.21,20.52,2.78,0.00,0.00,0.32,0.24,0.01,0.00,11.99,0.95,0.02,0.00,1.14,0.48,0.77,2.91,1.10,57.01,2.75,40.40,0.00,,6.12,4.24,-1.45,71.50,77.23,312.82,249.40,419.15,362.27,405.93,277.94,328.95,271.84,368.16,298.21,363.08,362.27,
3.671,0,0.07,0.48,0.01,0.46,0.03,0.48,0.34,0.51,0.51,99.04,0.92,0.00,97.52,32.69,6.63,0.01,0.01,0.45,0.56,0.05,0.01,0.88,0.51,0.00,0.01,0.09,0.05,1.81,4.35,0.04,68.67,1.73,11.40,0.00,,7.04,3.64,-2.16,71.27,75.95,312.31,248.84,420.08,363.51,405.83,278.48,330.25,270.99,368.01,297.92,362.50,363.51,
3.749,0,0.04,0.10,0.01,1.64,0.03,0.56,1.62,0.43,0.43,96.72,2.45,0.00,98.37,44.90,31.67,0.01,0.02,0.55,0.53,0.09,0.10,0.00,0.43,0.00,0.02,0.01,0.00,2.59,4.79,0.00,0.00,0.93,2.33,0.00,,2.89,1.50,-1.12,70.97,74.96,311.52,246.25,422.03,363.64,405.37,275.18,330.67,268.97,367.23,298.21,364.28,363.64,
3.827,0,0.02,0.03,0.01,6.81,0.02,0.40,8.73,0.49,0.49,82.55,15.41,0.00,98.12,50.55,69.26,0.01,0.15,0.08,0.50,0.03,0.05,0.00,0.49,0.00,0.03,0.00,0.00,2.88,3.70,0.00,0.00,0.22,0.29,0.00,,3.58,2.23,-0.25,71.43,75.08,310.33,245.24,422.76,364.99,404.74,273.98,329.83,269.05,367.40,297.82,365.07,364.99,
3.905,0,0.01,0.02,0.01,15.72,0.02,0.30,22.72,0.32,0.29,54.55,56.96,0.00,98.30,52.89,91.96,0.01,1.58,0.02,0.29,0.01,0.01,0.00,0.32,0.00,0.02,0.00,0.00,4.86,4.19,0.00,0.00,0.05,0.04,0.00,,4.47,1.72,-0.43,71.62,75.02,309.12,244.15,423.28,365.79,404.44,273.94,329.65,268.04,366.75,297.15,364.50,365.79,
3.982,0,0.03,0.02,0.02,18.37,0.02,0.13,23.90,0.29,0.05,52.20,69.95,0.00,98.67,36.85,97.88,0.00,14.13,0.02,0.05,0.00,0.00,0.00,0.29,0.00,0.01,0.00,0.00,5.97,3.34,0.00,0.00,0.02,0.01,0.00,,3.39,0.47,-0.53,71.98,75.83,307.73,243.82,423.02,366.57,404.11,273.73,328.51,267.78,365.19,297.77,363.52,366.57,
4.060,0,0.06,0.02,0.02,30.30,0.02,0.10,35.63,0.61,0.01,39.37,76.48,0.00,98.27,30.39,98.86,0.00,33.56,0.01,0.01,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,9.15,3.00,0.00,0.00,0.01,0.00,0.00,,2.05,1.81,-0.36,71.66,72.43,308.99,243.42,423.09,365.05,402.93,272.43,330.71,266.98,366.62,297.41,364.48,365.05,
4.139,0,0.11,0.02,0.02,38.58,0.02,0.08,42.55,0.86,0.01,32.45,78.61,0.00,98.76,24.87,99.28,0.00,46.46,0.01,0.01,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,10.26,2.19,0.00,0.00,0.00,0.00,0.00,,4.23,-0.10,-0.39,72.21,76.41,307.38,243.03,422.92,366.14,404.11,273.02,327.92,267.29,364.61,296.72,363.43,366.14,
4.216,0,0.03,0.02,0.02,11.17,0.02,0.08,12.62,1.41,0.03,74.76,69.35,0.00,98.63,24.37,98.24,0.00,10.04,0.02,0.03,0.03,0.01,0.00,1.41,0.00,0.00,0.00,0.00,5.26,0.91,0.00,60.26,0.00,0.00,0.00,,10.17,0.62,-0.34,73.41,77.59,306.76,243.57,422.09,367.23,403.96,274.32,326.56,268.83,364.31,294.56,362.75,367.23,
4.282,0,0.02,0.02,0.02,9.70,0.02,0.09,11.44,1.22,0.14,77.12,65.63,0.00,98.66,28.13,97.69,0.00,4.25,0.02,0.07,0.14,0.03,0.00,1.22,0.00,0.00,0.00,0.00,3.69,0.81,0.00,0.38,0.00,0.00,0.00,,6.51,-0.50,-0.94,73.14,72.75,307.33,243.22,421.32,365.06,401.66,273.84,329.25,266.78,363.60,295.17,362.07,365.06,
4.357,0,0.02,0.02,0.02,5.99,0.02,0.05,6.42,0.86,0.13,87.15,63.46,0.00,98.66,14.58,96.92,0.00,3.27,0.01,0.13,0.02,0.01,0.00,0.86,0.00,0.00,0.00,0.00,3.28,0.94,0.00,0.00,0.00,0.00,0.00,,4.92,-0.50,-0.47,73.46,75.64,305.41,243.28,420.18,365.77,401.41,273.12,325.98,267.48,362.02,296.30,360.99,365.77,
4.437,0,0.03,0.02,0.02,5.48,0.02,0.04,5.86,0.92,0.12,88.28,59.87,0.00,97.86,11.22,96.57,0.00,4.75,0.01,0.12,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,1.74,0.81,0.00,0.00,0.00,0.00,0.00,,3.68,-2.90,-0.54,72.66,73.56,306.16,242.40,420.06,364.35,400.76,271.07,327.35,266.49,360.96,295.48,361.22,364.35,
4.512,0,0.13,0.02,0.02,20.80,0.02,0.03,22.61,1.19,0.01,54.79,63.99,0.00,98.64,4.65,98.86,0.00,46.17,0.00,0.01,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,1.63,0.78,0.00,0.00,0.00,0.00,0.00,,4.31,0.57,-0.34,73.17,75.61,303.92,242.10,419.28,365.26,400.13,271.69,324.70,266.50,361.46,295.68,359.98,365.26,
4.592,0,0.48,0.02,0.02,50.68,0.02,0.03,54.50,0.89,0.00,20.50,63.47,0.00,98.59,2.88,99.04,0.00,81.83,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,1.17,0.58,0.00,0.00,0.00,0.00,0.00,,4.63,-0.75,0.17,73.37,74.88,303.09,241.69,419.48,365.92,399.16,271.70,324.46,266.34,360.33,295.58,360.23,365.92,
4.671,0,0.70,0.02,0.02,62.50,0.02,0.03,66.60,0.96,0.00,8.40,64.36,0.00,98.53,3.72,99.51,0.00,92.82,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,1.17,0.51,0.00,0.00,0.00,0.00,0.00,,5.65,-0.98,0.44,73.37,74.90,302.54,241.14,418.96,365.67,398.51,270.93,323.75,266.23,359.65,294.60,360.00,365.67,
4.750,0,0.74,0.02,0.02,64.34,0.02,0.03,68.56,0.82,0.00,6.44,64.96,0.00,98.41,3.93,99.68,0.00,94.42,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,1.33,0.68,0.00,0.00,0.00,0.00,0.00,,5.48,-1.38,0.20,73.61,76.89,301.99,241.00,418.17,364.93,398.97,271.09,322.25,265.91,358.72,294.42,359.01,364.93,
4.825,0,0.61,0.02,0.02,62.95,0.02,0.03,67.44,0.95,0.01,7.56,65.22,0.00,98.47,6.71,99.72,0.00,90.51,0.01,0.00,0.01,0.00,0.00,0.95,0.00,0.00,0.00,0.00,1.44,0.54,0.00,0.00,0.00,0.00,0.00,,5.77,-1.17,-0.43,73.40,75.65,302.39,241.17,417.45,364.56,398.57,270.30,323.04,266.03,358.74,293.92,358.14,364.56,
4.892,0,0.45,0.02,0.02,61.28,0.02,0.04,66.50,1.23,0.01,8.50,65.56,0.00,98.34,11.66,99.80,0.00,84.49,0.01,0.00,0.01,0.00,0.00,1.23,0.00,0.00,0.00,0.00,1.54,0.50,0.00,0.00,0.00,0.00,0.00,,2.93,-1.58,-1.22,73.00,74.12,304.03,241.80,416.89,362.76,398.79,269.80,324.78,265.62,359.10,294.74,357.81,362.76,
4.971,0,0.31,0.02,0.02,54.57,0.02,0.05,59.98,1.57,0.01,15.02,66.48,0.00,98.58,14.89,99.73,0.00,74.67,0.01,0.01,0.01,0.00,0.00,1.57,0.00,0.00,0.00,0.00,2.12,0.42,0.00,0.00,0.00,0.00,0.00,,5.96,-0.79,-0.49,73.19,75.39,303.01,241.05,416.50,362.67,398.30,269.95,323.04,265.57,358.81,293.01,357.92,362.67,
5.048,0,0.20,0.02,0.02,54.26,0.02,0.08,60.49,1.79,0.02,14.51,68.58,0.00,98.35,23.42,99.70,0.00,66.67,0.01,0.02,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00,3.35,0.44,0.00,0.00,0.00,0.00,0.00,,5.14,-1.56,-0.03,73.35,76.22,301.93,240.79,416.30,362.95,397.83,270.03,321.74,265.42,357.67,293.52,357.78,362.95,
5.129,0,0.27,0.02,0.02,68.05,0.02,0.10,73.10,2.08,0.02,1.90,74.98,0.00,98.48,28.88,99.73,0.00,74.77,0.01,0.02,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,7.26,0.63,0.00,0.00,0.00,0.00,0.00,,5.64,-1.14,-0.51,72.99,76.50,301.74,240.61,416.20,363.06,398.09,269.97,321.74,265.18,357.80,293.15,357.08,363.06,
5.200,0,0.33,0.02,0.02,77.92,0.02,0.13,82.26,2.44,0.02,0.00,77.48,0.00,98.55,34.68,99.79,0.00,81.69,0.01,0.02,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,8.92,0.67,0.00,0.00,0.00,0.00,0.00,,5.47,-0.91,-0.29,72.87,75.83,301.42,240.72,416.03,363.54,397.39,269.59,321.67,265.56,357.69,293.41,357.10,363.54,
5.279,0,0.37,0.02,0.02,81.05,0.02,0.15,84.71,2.89,0.01,0.00,79.44,0.00,98.77,36.53,99.80,0.00,84.22,0.01,0.01,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,10.36,0.54,0.00,0.00,0.00,0.00,0.00,,5.30,0.06,0.10,72.77,75.75,301.14,240.66,416.00,363.69,396.96,269.41,321.30,265.72,358.10,293.56,357.44,363.69,
5.345,0,0.33,0.02,0.02,76.24,0.02,0.13,79.67,2.75,0.01,0.00,81.19,0.00,97.69,33.55,99.70,0.00,78.85,0.00,0.01,0.00,0.00,0.00,2.75,0.00,0.00,0.00,0.00,11.84,0.68,0.00,0.00,0.00,0.00,0.00,,7.33,-3.27,-0.36,72.20,74.72,302.90,241.26,415.01,362.20,397.17,268.43,322.47,266.67,356.53,291.96,357.23,362.20,
5.424,0,0.04,0.02,0.02,25.36,0.02,0.13,25.22,3.14,0.04,49.64,86.26,0.00,98.48,34.25,99.06,0.00,20.03,0.01,0.04,0.01,0.00,0.00,3.14,0.00,0.00,0.00,0.00,17.13,0.58,0.00,67.95,0.00,0.00,0.00,,11.07,-1.14,-0.15,73.11,75.54,301.86,241.84,414.65,363.24,396.69,271.35,321.27,267.07,357.08,291.24,356.80,363.24,
5.500,0,0.03,0.02,0.03,15.44,0.02,0.15,12.92,3.82,0.18,69.13,90.60,0.00,98.50,35.16,96.54,0.00,1.96,0.02,0.18,0.13,0.01,0.00,3.82,0.00,0.00,0.00,0.00,24.98,0.54,0.00,16.87,0.00,0.00,0.00,,11.05,-1.08,-0.33,73.11,75.73,301.60,242.14,413.83,363.23,396.37,271.01,320.72,267.51,356.58,291.30,356.06,363.23,
5.577,0,0.02,0.02,0.02,16.00,0.02,0.26,16.14,5.45,0.38,67.73,81.04,0.00,98.43,44.87,94.56,0.00,0.62,0.01,0.38,0.04,0.01,0.00,5.45,0.00,0.00,0.00,0.00,16.85,0.40,0.00,0.00,0.00,0.00,0.00,,7.15,-1.31,0.30,73.09,75.06,300.83,242.33,413.47,363.26,395.11,270.52,320.11,267.44,355.86,293.39,356.23,363.26,
5.656,0,0.02,0.02,0.02,12.61,0.02,0.27,13.87,7.13,0.91,72.26,68.37,0.00,97.87,42.56,93.07,0.00,0.31,0.01,0.91,0.01,0.00,0.00,7.13,0.00,0.00,0.00,0.00,9.86,0.23,0.00,0.00,0.00,0.00,0.00,,7.52,-2.86,0.41,73.09,75.70,299.79,241.93,413.15,363.67,394.71,270.33,319.07,267.32,354.22,293.14,355.63,363.67,
