time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
4.635,0,0.06,0.01,0.00,0.03,99.98,0.02,0.08,0.01,0.01,0.00,99.98,97.94,98.79,8.70,0.34,0.00,0.02,99.94,63.95,0.50,0.02,0.00,0.01,0.01,0.01,94.73,0.00,14.46,0.73,0.00,6.55,100.00,45.94,0.00,,4.28,0.00,-0.72,70.95,72.03,320.87,257.37,416.64,359.01,405.73,281.68,333.77,278.44,368.32,301.90,366.76,359.01,
4.714,0,0.04,0.01,0.00,0.03,99.98,0.02,0.08,0.03,0.01,0.00,99.98,97.99,98.72,7.96,0.40,0.00,0.02,99.94,57.86,0.74,0.02,0.00,0.01,0.03,0.01,95.91,0.01,10.26,0.62,0.00,6.57,100.00,46.61,0.00,,4.35,-0.27,-0.68,70.90,71.98,320.87,257.43,416.50,358.94,405.62,281.67,333.70,278.52,368.09,301.86,366.73,358.94,
4.791,0,0.03,0.02,0.00,0.03,99.98,0.02,0.08,0.06,0.02,0.00,99.98,97.77,98.70,9.06,0.41,0.00,0.01,99.93,47.40,0.67,0.01,0.00,0.02,0.06,0.01,96.54,0.01,8.59,0.52,0.00,7.46,100.00,46.90,0.00,,4.45,-0.37,-0.82,70.81,71.61,320.91,257.50,416.45,358.96,405.49,281.83,333.96,278.46,368.04,301.85,366.58,358.96,
4.867,0,0.02,0.02,0.00,0.03,99.98,0.02,0.09,0.10,0.05,0.00,99.98,97.22,98.68,11.82,0.42,0.00,0.01,99.93,38.98,0.57,0.01,0.00,0.05,0.10,0.00,96.57,0.01,6.44,0.47,0.00,8.60,100.00,47.58,0.00,,4.57,-0.44,-0.79,70.76,71.91,320.90,257.50,416.47,358.99,405.64,281.79,333.80,278.54,367.99,301.82,366.61,358.99,
4.945,0,0.02,0.02,0.00,0.03,99.98,0.02,0.09,0.08,0.07,0.00,99.98,97.30,98.65,11.71,0.51,0.00,0.02,99.94,36.30,0.41,0.01,0.00,0.07,0.08,0.00,95.48,0.01,7.27,0.44,0.00,8.48,100.00,47.30,0.00,,4.86,-0.56,-0.77,70.70,72.10,320.86,257.45,416.52,359.11,405.73,281.69,333.70,278.62,367.93,301.71,366.62,359.11,
5.027,0,0.02,0.02,0.00,0.03,99.98,0.02,0.10,0.11,0.11,0.00,99.98,96.98,98.61,13.28,0.51,0.00,0.02,99.94,37.07,0.38,0.00,0.00,0.11,0.06,0.00,94.31,0.00,5.97,0.35,0.00,8.70,100.00,47.26,0.00,,4.26,-0.68,-0.79,70.62,72.26,320.93,257.52,416.41,358.84,405.81,281.75,333.62,278.54,367.84,301.91,366.58,358.84,
5.102,0,0.02,0.02,0.00,0.03,99.98,0.02,0.10,0.14,0.14,0.00,99.98,96.93,98.65,13.38,0.59,0.00,0.03,99.93,39.83,0.41,0.00,0.00,0.14,0.06,0.00,92.15,0.00,5.14,0.24,0.00,9.09,100.00,47.25,0.00,,4.47,-0.56,-0.84,70.58,72.08,320.86,257.48,416.48,359.03,405.74,281.74,333.73,278.53,367.92,301.85,366.54,359.03,
5.169,0,0.02,0.02,0.00,0.03,99.98,0.02,0.10,0.11,0.11,0.00,99.98,97.16,98.67,12.40,0.66,0.00,0.03,99.92,41.97,0.41,0.00,0.00,0.11,0.04,0.00,89.71,0.00,5.47,0.27,0.00,9.96,100.00,47.07,0.00,,4.40,-0.45,-0.77,70.65,72.54,320.82,257.45,416.48,358.92,405.92,281.79,333.45,278.52,367.95,301.88,366.58,358.92,
5.245,0,0.02,0.02,0.00,0.03,99.98,0.02,0.10,0.08,0.08,0.00,99.98,97.07,98.68,12.93,0.60,0.00,0.02,99.90,46.37,0.36,0.00,0.00,0.08,0.03,0.00,85.50,0.00,6.46,0.31,0.00,9.94,100.00,46.76,0.00,,4.66,-0.44,-1.18,70.72,72.70,320.82,257.51,416.35,358.93,406.16,282.01,333.55,278.40,367.92,301.78,366.05,358.93,
5.328,0,0.03,0.01,0.00,0.02,99.98,0.02,0.09,0.06,0.06,0.00,99.98,97.42,98.59,11.54,0.56,0.00,0.02,99.83,48.50,0.27,0.00,0.00,0.06,0.02,0.00,73.21,0.00,6.37,0.34,0.00,15.51,100.00,45.63,0.00,,5.05,-0.76,-1.50,70.92,73.56,320.81,257.49,416.50,359.00,406.84,282.34,333.40,278.32,367.80,301.70,365.72,359.00,
5.401,0,0.02,0.01,0.00,0.02,99.98,0.02,0.10,0.05,0.05,0.00,99.98,97.33,98.63,12.22,0.56,0.00,0.01,99.62,45.11,0.14,0.00,0.00,0.05,0.01,0.00,60.60,0.00,6.01,0.33,0.00,20.90,100.00,44.36,0.00,,4.55,-0.60,-1.53,71.12,73.31,320.72,257.58,416.32,358.91,406.59,282.29,333.39,278.39,367.76,301.92,365.57,358.91,
